Date,Time,Site,Location,Client Location ID,Device,Country,Region,Segment,Cost,Currency,Weight,Unit,Portions,Quantity,Duration,Food Item,Food Item Category,Loss Reason,Source,Disposition,Container,Stage of Processing,Operator,Event Order No.,Edited
11/4/2019,12:14:34,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,20.41,USD,15.7,lb,,1,17,Beef - Whole,Meat-Protein,Trimmings & By-Products,Kitchen,Compost,No Pan,Pre-Consumer,John W,,0
11/4/2019,11:34:40,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,9.94,USD,9.2,lb,,1,43,Pasta,Starch,Overproduction - Line,Kitchen,Compost,Cambro 8 Qt,Pre-Consumer,Kip B,,0
11/4/2019,11:13:37,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,29.99,USD,8.4,lb,,1,22,Blended Beef,Meat-Protein,Overproduction - Line,Grill,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,John W,,0
11/4/2019,10:55:51,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,2.43,USD,16,lb,,1,13,Vegetables,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Sheet/Roasting Pan,Pre-Consumer,Harlow T,,0
11/4/2019,10:55:05,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,2.21,USD,4.9,lb,,1,60,Hot Cereal,Bread-Cereal,Overproduction - Line,Bowls,Compost,Soup Container-Large,Pre-Consumer,John W,,0
11/4/2019,10:52:59,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,2.26,USD,3.7,lb,,1,36,Rice,Starch,Overproduction - Line,Bowls,Compost,Soup Container-Large,Pre-Consumer,John W,,0
11/4/2019,10:52:12,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,1.04,USD,3,lb,,1,16,Fruit,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Peggy P,,0
11/4/2019,10:49:55,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,11.03,USD,4.5,lb,,1,34,Chicken - Boneless,Meat-Protein,Overproduction - Holding,Bowls,Compost,Half Hotel Pan (4-inch) Metal,Pre-Consumer,Brenay W,,0
11/4/2019,10:47:57,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,3.54,USD,3.4,lb,,1,23,Mixed Plate-Other,Mixed Foods,Overproduction - Line,Stir-Fry,Compost,Half Hotel Pan (2.5-inch) Metal,Pre-Consumer,Lynn H,,0
11/4/2019,10:46:42,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,0.46,USD,3.3,lb,,1,31,Gravy,Soup-Sauce-Gravy,Overproduction - Line,Grill,Compost,Medium Deep Round,Pre-Consumer,Pamela H,,0
11/4/2019,10:45:37,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,7.44,USD,2.4,lb,,1,39,Bacon,Meat-Protein,Overproduction - Line,Grill,Compost,Medium Deep Round,Pre-Consumer,Pamela H,,0
11/4/2019,10:44:43,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,2.44,USD,2.3,lb,,1,44,Eggs,Dairy,Overproduction - Line,Grill,Compost,Medium Deep Round,Pre-Consumer,Pamela H,,0
11/4/2019,10:43:29,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,2.07,USD,4.6,lb,,1,51,Hot Cereal,Bread-Cereal,Overproduction - Line,Grill,Compost,Medium Deep Round,Pre-Consumer,Pamela H,,0
11/4/2019,10:42:11,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,1.81,USD,0.4,lb,,1,40,Turkey,Meat-Protein,Overproduction - Line,Grill,Compost,Medium Shallow Round,Pre-Consumer,Pamela H,,0
11/4/2019,10:41:11,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,2.33,USD,2.4,lb,,1,107,Potatoes,Starch,Overproduction - Line,Grill,Compost,Medium Deep Round,Pre-Consumer,Pamela H,,0
11/4/2019,10:10:34,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,1.43,USD,9.4,lb,,1,12,Vegetables,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Full Hotel Pan (6-inch) Metal,Pre-Consumer,Mildred J,,0
11/4/2019,9:39:08,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,0.76,USD,5,lb,,1,17,Vegetables,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,No Pan,Pre-Consumer,Peggy P,,0
11/4/2019,8:48:01,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,0.15,USD,1,lb,,1,18,Vegetables,Fruit-Vegetable,Trimmings & By-Products,Pizza Station,Compost,No Pan,Pre-Consumer,Frazier L,,0
11/4/2019,8:30:50,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,2.69,USD,13.2,lb,0.88,1,11,Pineapple,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Full Hotel Pan (6-inch) Metal,Pre-Consumer,Mildred J,,0
11/4/2019,8:29:58,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,2.08,USD,6,lb,,1,15,Fruit,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Peggy P,,0
11/4/2019,8:21:57,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,0.23,USD,1.5,lb,,1,12,Vegetables,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Half Hotel Pan (4-inch) Metal,Pre-Consumer,Kip B,,0
11/4/2019,8:00:04,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,24.74,USD,14.3,lb,,1,35,Fruit,Fruit-Vegetable,Inventory - Spoiled/Dated,Salad Bar,Compost,Full Hotel Pan (6-inch) Metal,Pre-Consumer,Frazier L,,0
11/4/2019,7:56:50,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,43.08,USD,24.9,lb,,1,48,Fruit,Fruit-Vegetable,Quality (Prepared Items),Kitchen,Trash,Sixth Pan (6-inch) Metal,Pre-Consumer,Kip B,,0
11/4/2019,7:50:20,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,5.78,USD,16.7,lb,,1,15,Fruit,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Peggy P,,0
11/4/2019,7:48:27,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,4.97,USD,4.6,lb,,1,28,Pasta,Starch,Inventory - Spoiled/Dated,Pasta Station,Compost,No Pan,Pre-Consumer,Frazier L,,0
11/4/2019,7:36:46,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,33.1,USD,8.4,lb,,1,31,Fish,Meat-Protein,Inventory - Spoiled/Dated,Chef's Table,Compost,Sheet/Roasting Pan,Pre-Consumer,Frazier L,,0
11/4/2019,7:35:46,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,4.14,USD,20.3,lb,1.353333,1,13,Pineapple,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,No Pan,Pre-Consumer,Mildred J,,0
11/4/2019,7:11:12,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,4.18,USD,20.5,lb,1.366667,1,12,Pineapple,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Full Hotel Pan (6-inch) Metal,Pre-Consumer,Mildred J,,0
11/4/2019,6:40:37,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,34.41,USD,11.1,lb,,1,37,Bacon,Meat-Protein,Inventory - Spoiled/Dated,Omelet,Donation,Half Hotel Pan (2.5-inch) Metal,Pre-Consumer,Prosper B,,0
11/4/2019,6:28:10,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,0.29,USD,1.9,lb,,1,24,Vegetables,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Full Hotel Pan (4-inch) Metal,Pre-Consumer,Kip B,,0
11/4/2019,6:12:45,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,3.26,USD,16,lb,1.066667,1,17,Pineapple,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Full Hotel Pan (6-inch) Metal,Pre-Consumer,Mildred J,,0
11/4/2019,5:52:28,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,14.21,USD,7.6,lb,,1,17,Pudding,Desserts,Overproduction - Line,Dessert Station,Compost,Sheet/Roasting Pan,Pre-Consumer,Jennifer B,,0
11/4/2019,5:49:56,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,5.08,USD,2.3,lb,,1,18,Cookie,Desserts,Handling,Dessert Station,Compost,White Melamine Platter,Pre-Consumer,Jennifer B,,0
