Date,Time,Site,Location,Client Location ID,Device,Country,Region,Segment,Cost,Currency,Weight,Unit,Portions,Quantity,Duration,Food Item,Food Item Category,Loss Reason,Source,Disposition,Container,Stage of Processing,Operator,Event Order No.,Edited
11/9/2019,21:13:00,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons - FS,US,NORAM,College/University,227.24,USD,146.61,lb,,1,15,Post Consumer Food,None,Post Consumer,Post Consumer,Compost,Green Bin,Post-Consumer,Post-Consumer,,0
11/9/2019,20:15:42,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,24.24,USD,7.3,lb,,1,21,Beef - Ground,Meat-Protein,Overproduction - Line,Chef's Table,Compost,Round Bowl - Large,Pre-Consumer,Dewayne P,,0
11/9/2019,15:33:04,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,0.23,USD,1.5,lb,,1,41,Vegetables,Fruit-Vegetable,Trimmings & By-Products,Chef's Table,Compost,Quarter Hotel (2.5-inch) Metal,Pre-Consumer,Dewayne P,,0
11/9/2019,15:15:30,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,10.85,USD,2.4,lb,,1,27,Turkey,Meat-Protein,Overproduction - Holding,Chef's Table,Compost,Full Hotel Pan (4-inch) Metal,Pre-Consumer,Frazier L,,0
11/9/2019,15:11:40,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,1.85,USD,4.1,lb,,1,38,Hot Cereal,Bread-Cereal,Overproduction - Holding,Chef's Table,Compost,Medium Deep Round,Pre-Consumer,Frazier L,,0
11/9/2019,15:10:49,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,1.13,USD,2.5,lb,,1,26,Hot Cereal,Bread-Cereal,Overproduction - Holding,Chef's Table,Compost,Medium Deep Round,Pre-Consumer,Frazier L,,0
11/9/2019,15:10:08,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,0.88,USD,0.3,lb,,1,17,Pork,Meat-Protein,Overproduction - Holding,Chef's Table,Compost,Medium Deep Round,Pre-Consumer,Frazier L,,0
11/9/2019,15:09:37,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,2.23,USD,1,lb,,1,31,Bread,Bread-Cereal,Overproduction - Holding,Chef's Table,Compost,Casserole Dish,Pre-Consumer,Frazier L,,0
